Pagina,Tipo_Evasion,Texto_Detectado,Contexto_80chars,Personas_en_Pagina
53,I don't recall,do not recall,"3 A. Okay. JE, Jeffrey Epstein; ET, Emmy 24 Taylor; VR, Virginia Roberts; BK, I do not recall; 25 and myself. MAGNA LEGAL SERVICES Case 1:15-cv-07433-LAP Document 1320-12 Fi",Jeffrey Epstein
53,Objection,Objection,"else to the extent you 12 remember was on the plane with you 13 MS. MENNINGER: Objection, foundation, 14 leading, form of question. 15 BY MS. McCAWLEY: 16 Q. Johanna, d",Jeffrey Epstein
53,Objection,Objection,"anna, do you recall who was on the 17 plane with you that day 18 MS. MENNINGER: Objection, foundation, 19 form, leading. 20 The witness is reading the document. 21 BY MS",Jeffrey Epstein
54,Objection,Objection,Page 18 1 MS. MENNINGER: Objection. The witness is 2 reading the document. 3 BY MS. McCAWLEY: 4 Q. And do you reca,Jeffrey Epstein
55,Objection,Objection,"later wonder that 7 A. Yes. 8 Q. And what was your impression 9 MS. MENNINGER: Objection, vague, 10 speculative. 11 THE WITNESS: I -- were jumping ahead; is 12 that oka",
62,Objection,Objection,"15 A. Yes. 16 Q. Do you see the TEB to TIST there 17 A. Yes. 18 MS. MENNINGER: Objection, leading. The 19 questioning is testifying now. 20 MS. McCAWLEY: Can you let me",
62,Objection,Objection,"the initials are there 24 that you see that were on the plane 25 MS. MENNINGER: Objection, foundation, MAGNA LEGAL SERVICES Case 1:15-cv-07433-LAP Document 1320-12 Filed",
66,Objection,Objection,"age 30 1 Q. Did you observe her to be young when you 2 met her 3 MS. MENNINGER: Objection, vague as to 4 time. 5 THE WITNESS: All of the women were 6 generally young. I",
66,Objection,Objection,"any massages did Jeffrey receive on 10 average in a given day 11 MS. MENNINGER: Objection, foundation. 12 THE WITNESS: Three a day. 13 BY MS. McCAWLEY: 14 Q. Let me back",
66,Objection,Objection,"moment. 15 How long did you work for Jeffrey and 16 Ghislaine 17 MS. MENNINGER: Objection, leading and 18 foundation. 19 THE WITNESS: I believe it was five years, 20 200",
66,Objection,Objection,"d how many massages did Epstein receive 23 per day on average 24 MS. MENNINGER: Objection, foundation. 25 THE WITNESS: Three. MAGNA LEGAL SERVICES Case 1:15-cv-07433-LAP",
67,Objection,Objection,"formed by the same 3 girl or different females 4 A. Different. 5 MS. MENNINGER: Objection, foundation. 6 BY MS. McCAWLEY: 7 Q. What did the females who performed the 8 m",
67,Objection,Objection,"Q. What did the females who performed the 8 massages look like 9 MS. MENNINGER: Objection, foundation. 10 THE WITNESS: They all looked different. 11 Some of them were et",
67,Objection,Objection,"Q. Were the girls who performed the massages 15 young or old 16 MS. MENNINGER: Objection, foundation. 17 THE WITNESS: I dont recall anyone being 18 old. 19 BY MS. McCAW",
67,Objection,Objection,"20 Q. Do you recall anybody being over the age 21 of, say, 25 22 MS. MENNINGER: Objection, form. 23 THE WITNESS: Yeah, I believe there was 24 probably a few women that w",
68,Objection,objection,"answer. No 2 one is going to stop you from answering. I 3 just need to get the objection on the record, 4 in the same way she needs to be able to talk 5 before you. My",
68,Objection,Objection,"he received 10 so many massages from so many different girls 11 MS. MENNINGER: Objection, hearsay. 12 BY MS. McCAWLEY: 13 Q. You can answer. 14 A. He explained to me th",
69,Objection,Objection,"Page 33 1 MS. MENNINGER: Objection, leading. 2 BY MS. McCAWLEY: 3 Q. Do you believe that from your 4 observations,",
69,Objection,Objection,"hether it 8 bothered her that Jeffrey had so many girls around 9 MS. MENNINGER: Objection, leading, 10 hearsay. 11 THE WITNESS: No. Actually, the opposite. 12 BY MS. McC",
69,Objection,Objection,"a time when 21 Maxwell offered to buy you a camera 22 A. Yes. 23 MS. MENNINGER: Objection, leading. 24 BY MS. McCAWLEY: 25 Q. Did Maxwell ever offer to buy you a MAGNA L",
70,Objection,Objection,"Page 34 1 camera 2 MS. MENNINGER: Objection, leading. 3 THE WITNESS: Yes. 4 BY MS. McCAWLEY: 5 Q. Was there anything you we",
70,Objection,Objection,"anything you were supposed to do 6 in order to get the camera 7 MS. MENNINGER: Objection, leading. 8 THE WITNESS: I did not know that there 9 were expectations of me to",
71,Objection,Objection,"a friend of 12 mine. 13 Q. And what do you recall about that 14 MS. MENNINGER: Objection, hearsay, 15 foundation. 16 THE WITNESS: He wanted to have a friend 17 of mine",
72,Objection,Objection,"massages Jeffrey was getting 4 typically involved sexual acts 5 MS. MENNINGER: Objection, foundation, 6 leading. 7 THE WITNESS: Yes. 8 BY MS. McCAWLEY: 9 Q. What was Ma",
72,Objection,Objection,"Y: 9 Q. What was Maxwells main job with respect 10 to Jeffrey 11 MS. MENNINGER: Objection, foundation. 12 THE WITNESS: Well, beyond companionship, 13 her job, as it rela",
74,Objection,Objection,"teenagers or 20 anything along those lines 21 A. He did not. 22 MS. MENNINGER: Objection, leading, calls 23 for hearsay. 24 BY MS. McCAWLEY: 25 Q. Did you ever hear or",David Copperfield
75,Objection,Objection,"Page 39 1 talking on the phone about Frederic Fekkai 2 A. Yes. 3 MS. MENNINGER: Objection, leading. 4 BY MS. McCAWLEY: 5 Q. What did you hear 6 A. I heard him call someo",
76,Objection,Objection,"d you ever bring other girls over as 15 Maxwell had requested 16 MS. MENNINGER: Objection, leading, 17 hearsay, form. 18 THE WITNESS: One time. 19 BY MS. McCAWLEY: 20 Q.",
77,Objection,Objection,"into that. 6 Q. Was Bill Clinton a friend of Jeffrey 7 Epstein 8 MS. MENNINGER: Objection, foundation. 9 BY MS. McCAWLEY: 10 Q. Let me back up. 11 Do you know if Bill Cl",Jeffrey Epstein; Bill Clinton
79,Objection,Objection,"2 out after the massage or would he clean up after 13 himself 14 MS. MENNINGER: Objection, vague, form. 15 THE WITNESS: He did not ever clean up. 16 BY MS. McCAWLEY: 17",
79,Objection,Objection,"18 the years you were with Jeffrey and Maxwell damaged 19 you 20 MS. MENNINGER: Objection, leading, form. 21 THE WITNESS: It affected me. Damaged 22 is a strong word. 23",
80,Objection,Objection,"Nadia Marcinkova and 3 Ghislaine at the house at the same time 4 MS. MENNINGER: Objection, leading, form. 5 THE WITNESS: I dont recall. 6 BY MS. McCAWLEY: 7 Q. On the US",Jeffrey Epstein; Ghislaine Maxwell
81,Don't know,do not know,"all how old she was when you 10 first met her 11 A. I assumed she was 18, but I do not know 12 her age. 13 MS. McCAWLEY: Were going to take a break 14 really quickly and t",
82,Objection,Objection,"Page 46 1 Maxwell when you were on the visit to the USVI 2 MS. MENNINGER: Objection, vague as to 3 time. 4 THE WITNESS: I dont recall. 5 BY MS. McCAWLEY: 6 Q. Do y",
82,Objection,Objection,use. 17 Q. And what was your understanding of that 18 request 19 MS. MENNINGER: Objection. 20 THE WITNESS: Well -- 21 MS. MENNINGER: Form. 22 THE WITNESS: -- I just wond,
90,Objection,Objection,ions to a bulletin board where she could post 4 a job 5 A. Yes. 6 MS. McCAWLEY: Objection. 7 BY MS. MENNINGER 8 Q. And it sounds like you guys got into a 9 conversation;,
92,Objection,Objection,"Epstein 21 that first time that you did go to the house, right 22 MS. McCAWLEY: Objection. 23 THE WITNESS: I believe I either met him 24 that time or the next time. I ca",Jeffrey Epstein
96,Objection,Objection,u 9 came to work or was that part of the prior 10 conversation 11 MS. McCAWLEY: Objection. 12 THE WITNESS: About what I was wearing 13 BY MS. MENNINGER: 14 Q. No. About,
101,Objection,Objection,Page 65 1 MS. McCAWLEY: Objection. 2 BY MS. MENNINGER: 3 Q. Did you do anything else that day in terms 4 of erran,
104,I don't recall,do not recall,"would 2 assume that she was probably at the house and 3 greeted me; however, I do not recall if she was 4 there. 5 Q. It sounds like you met Emmy Taylor 6 A. Yes. 7 Q. How",
105,Objection,Objection,Page 69 1 MS. McCAWLEY: Objection. 2 BY MS. MENNINGER: 3 Q. Im sorry. Youre right. Third time. 4 The second time,
106,Objection,Objection,"sewhere in the home, but not a full-blown, full 9 body massage 10 MS. McCAWLEY: Objection. 11 THE WITNESS: Yes. 12 BY MS. MENNINGER: 13 Q. Did you see any full-blown, fu",
107,Objection,Objection,"to be naked under a towel 4 during a massage, a regular massage 5 MS. McCAWLEY: Objection. 6 THE WITNESS: Naked under a towel during a 7 massage, the person getting mass",
107,Objection,Objection,"ts in time 24 were clothed while they were doing that, correct 25 MS. McCAWLEY: Objection. MAGNA LEGAL SERVICES Case 1:15-cv-07433-LAP Document 1320-12 Filed 010324 Page",
110,Objection,Objection,particular one is not 15 sticking out in your mind 16 A. Yes. 17 MS. McCAWLEY: Objection. 18 BY MS. MENNINGER: 19 Q. Do you remember the next time after that 20 A. I do,
112,Objection,Objection,"e 7 particulars of your massages with Jeffrey, with 8 Ghislaine 9 MS. McCAWLEY: Objection. 10 BY MS. MENNINGER: 11 Q. If that makes sense. 12 A. No. 13 Q. So before you",
114,Objection,Objection,ell go to the casino. 20 Q. And what happened with an ID issue 21 MS. McCAWLEY: Objection: 22 THE WITNESS: All I knew is that she was 23 not going to be allowed to gambl,
118,Objection,Objection,. Tell me how it came to be that there was a 24 picture taken. 25 MS. McCAWLEY: Objection. MAGNA LEGAL SERVICES Case 1:15-cv-07433-LAP Document 1320-12 Filed 010324 Page,Prince Andrew
119,Objection,Objection,0 BY MS. MENNINGER: 11 Q. And this was done in a joking manner 12 MS. McCAWLEY: Objection. 13 THE WITNESS: Yes. 14 BY MS. MENNINGER: 15 Q. Do you recall a photo being ta,
124,Objection,Objection,erve whether she was using 23 drugs during that trip 24 A. No. 25 MS. McCAWLEY: Objection. MAGNA LEGAL SERVICES Case 1:15-cv-07433-LAP Document 1320-12 Filed 010324 Page,
126,Objection,Objection,you characterize your relationship 23 with Jeffrey as friendly 24 MS. McCAWLEY: Objection. 25 THE WITNESS: Yes. MAGNA LEGAL SERVICES Case 1:15-cv-07433-LAP Document 1320,
129,Objection,Objection,id you meet her boyfriend 18 A. No. 19 Q. Her fiancé 20 A. No. 21 MS. McCAWLEY: Objection. 22 BY MS. MENNINGER: 23 Q. When you were on the plane with Jeffrey 24 during t,
132,Objection,Objection,"towel -- 5 A. Definitely. 6 Q. -- in a regular massage fashion 7 MS. McCAWLEY: Objection. 8 THE WITNESS: Yes. Actually, I do recall 9 an instance where I was massaging",
132,Objection,Objection,"d she did not rub her breasts on you, 19 for example 20 A. No. 21 MS. McCAWLEY: Objection. 22 BY MS. MENNINGER: 23 Q. She did not demand that you perform oral 24 sex on",
133,Objection,Objection,her that was sexual 5 during the massages that you gave to her 6 MS. McCAWLEY: Objection. 7 THE WITNESS: Correct. 8 BY MS. McCAWLEY: 9 Q. Do you recall when the last ti,
134,Objection,Objection,"uys had a normal type 2 conversation 3 A. Yes. It was very fun. 4 MS. McCAWLEY: Objection. 5 MS. MENNINGER: I would like to take about 6 a 5-, to 10-minute break, if tha",
135,Objection,Objection,"not present when you were 2 giving massages to Jeffrey, correct 3 MS. McCAWLEY: Objection. 4 THE WITNESS: Correct. 5 BY MS. MENNINGER: 6 Q. At some point Jeffrey became",
135,Objection,Objection,"effrey became more 7 aggressive with you, correct 8 A. Correct. 9 MS. McCAWLEY: Objection. 10 BY MS. MENNINGER: 11 Q. At what point was that 12 A. In the last year. 13 Q",
136,Objection,Objection,ing more aggressive in general Outside of the 6 massage context 7 MS. McCAWLEY: Objection. 8 THE WITNESS: No. 9 BY MS. MENNINGER: 10 Q. Do you know whether he was taking,
136,Objection,Objection,ressive with you contemporaneous 18 with when it was happening 19 MS. McCAWLEY: Objection. 20 THE WITNESS: No. 21 BY MS. MENNINGER: 22 Q. When Jeffrey asked you to do ot,
137,Objection,Objection,"s were when you were a 14 consenting adult, correct 15 A. Yes. 16 MS. McCAWLEY: Objection. 17 THE WITNESS: Correct. 18 BY MS. MENNINGER: 19 Q. And you did not have knowl",
137,Objection,Objection,"e with other women behind closed doors and 21 Jeffrey, correct 22 MS. McCAWLEY: Objection. 23 THE WITNESS: Correct. 24 BY MS. MENNINGER: 25 Q. Do you recall giving an in",
138,Objection,Objection,"onduct out in the open areas of the home, correct 13 A. Right. 14 MS. McCAWLEY: Objection. 15 BY MS. MENNINGER: 16 Q. When you became aware of the allegations 17 against",
138,Objection,Objection,"7 against Jeffrey, those came as a surprise to you, 18 correct 19 MS. McCAWLEY: Objection. 20 THE WITNESS: Correct. 21 BY MS. MENNINGER: 22 Q. And the surprise was that",
138,Objection,Objection,"it involved 23 underaged girls making that allegation, correct 24 MS. McCAWLEY: Objection. 25 THE WITNESS: Correct. MAGNA LEGAL SERVICES Case 1:15-cv-07433-LAP Document",
141,Objection,Objection,Page 105 1 MS. McCAWLEY: Objection. 2 BY MS. MENNINGER: 3 Q. And Ghislaine was not topless in a photo 4 with the P,
142,I don't recall,do not recall,"18 Q. Do you recall seeing any semi-clad photos 19 in New Mexico at all 20 A. I do not recall. 21 Q. And the Virgin Islands 22 A. Yes, in his bathroom, master bathroom. 23 Q",
143,Objection,Objection,"knowingly had sexual contact with an underaged girl, 6 correct 7 MS. McCAWLEY: Objection. 8 THE WITNESS: When I asked him if the 9 accusations were true, after I spoke",Jeffrey Epstein
145,I don't recall,do not recall,"he was from Maine, would 13 that stick out in your mind 14 A. It should, but I do not recall meeting 15 him. 16 Q. Do you ever remember meeting Prime 17 Minister Ehud Barak",Ghislaine Maxwell; Bill Clinton
145,Objection,Objection,er tell you that 4 she had flown Bill Clinton in her helicopter 5 MS. McCAWLEY: Objection. 6 THE WITNESS: I dont recall her saying 7 that. 8 BY MS. MENNINGER: 9 Q. Did y,Ghislaine Maxwell; Bill Clinton
148,Objection,Objection,Did they ask you to engage in sexual 9 contact and you refused 10 MS. McCAWLEY: Objection. 11 THE WITNESS: No. 12 BY MS. MENNINGER: 13 Q. Marvin Minsky 14 A. I dont know,Donald Trump; Alan Dershowitz
148,Objection,Objection,n the back of a 23 limousine with Virginia and Jeffrey present 24 MS. McCAWLEY: Objection. 25 THE WITNESS: Absolutely not. MAGNA LEGAL SERVICES Case 1:15-cv-07433-LAP Do,Donald Trump; Alan Dershowitz
149,Objection,Objection,ever talk to you about having 10 been with any of those people 11 MS. McCAWLEY: Objection. 12 THE WITNESS: No. 13 BY MS. MENNINGER: 14 Q. Did she tell you that she had m,Alan Dershowitz
150,Objection,Objection,get your massage license at 15 some point and a massage table 16 MS. McCAWLEY: Objection. 17 THE WITNESS: Yes. He bought me my 18 massage table around the time that I w,
151,Objection,Objection,h Virginia that led you to believe that she was a 14 sex slave 15 MS. McCAWLEY: Objection. 16 THE WITNESS: No. 17 BY MS. MENNINGER: 18 Q. Did you see anyone forcing her,
151,Objection,Objection,A. No. 21 Q. Did you see her look traumatized at some 22 point 23 MS. McCAWLEY: Objection. 24 THE WITNESS: No. 25 MAGNA LEGAL SERVICES Case 1:15-cv-07433-LAP Document 13,
152,Objection,Objection,"rts had been trafficked, 4 sexually trafficked to third parties 5 MS. McCAWLEY: Objection. 6 THE WITNESS: No. 7 BY MS. MENNINGER: 8 Q. Did Virginia ever tell you that sh",Ghislaine Maxwell
152,Objection,Objection,irginia ever tell you that she had 9 been trafficked 10 A. No. 11 MS. McCAWLEY: Objection. 12 BY MS. MENNINGER: 13 Q. Did you hear anyone direct Virginia 14 Roberts to g,Ghislaine Maxwell
154,Objection,Objection,"d then Andrew 22 sat on another chair, and you sat on his lap. 23 MS. McCAWLEY: Objection. 24 BY MS. MENNINGER: 25 Q. Is that what it says MAGNA LEGAL SERVICES Case 1:15",Prince Andrew
156,Objection,Objection,about 6 having met Prince Andrew before this time in New 7 York 8 MS. McCAWLEY: Objection. 9 THE WITNESS: She did not say. 10 BY MS. MENNINGER: 11 Q. Did Prince Andrew s,Prince Andrew; Al Gore
157,Objection,Objection,"hey were what, talking to you about 22 Jeffrey in what context 23 MS. McCAWLEY: Objection. 24 THE WITNESS: Basically, they were trying 25 to find people that would help",
158,Objection,Objection,recruited to give sex to 15 either Jeffrey or to other people 16 MS. McCAWLEY: Objection. 17 THE WITNESS: Can you rephrase 18 BY MS. MENNINGER: 19 Q. Yes. That wasnt a,
159,Objection,Objection,a liar based on things that youve read in 17 the police report 18 MS. McCAWLEY: Objection. 19 THE WITNESS: I formed my opinion based on 20 my experience in the house. 21,
160,Objection,Objection,"ave 18 been attributed to her in the press 19 A. Many of them. 20 MS. McCAWLEY: Objection. 21 THE WITNESS: I dont know that Ive read 22 all of them, but I have read some",Ghislaine Maxwell
161,Objection,Objection,all of them. 14 Q. Have you read her book manuscript 15 A. No. 16 MS. McCAWLEY: Objection. 17 BY MS. MENNINGER: 18 Q. Did she tell you that she was writing a 19 book 20,
161,Objection,Objection,o. 21 Q. Did she tell you she was trying to get a 22 book deal 23 MS. McCAWLEY: Objection. 24 THE WITNESS: No. 25 MAGNA LEGAL SERVICES Case 1:15-cv-07433-LAP Document 13,
162,Objection,Objection,R: 2 Q. Did she tell you that he hired a ghost 3 rider 4 A. No. 5 MS. McCAWLEY: Objection. 6 BY MS. MENNINGER: 7 Q. Did she tell you that she hired a literary 8 agent 9,
162,Objection,Objection,NINGER: 7 Q. Did she tell you that she hired a literary 8 agent 9 MS. McCAWLEY: Objection. 10 THE WITNESS: No. 11 BY MS. MENNINGER: 12 Q. Did you speak with John Connell,
163,Objection,Objection,ut words in my mouth. 4 Q. And it was misreported and published 5 MS. McCAWLEY: Objection. 6 THE WITNESS: Correct. 7 BY MS. MENNINGER: 8 Q. Have you spoken to him lately,
163,Objection,Objection,know whether Virginia has 21 lied about any of her experience 22 MS. McCAWLEY: Objection. 23 THE WITNESS: I dont know that she has 24 lied. 25 MAGNA LEGAL SERVICES Case,
164,Objection,Objection,s has 5 accurately reported everything that Virginia has 6 said 7 MS. McCAWLEY: Objection. 8 THE WITNESS: I dont know. 9 BY MS. MENNINGER: 10 Q. Other than John Connelly,
165,Objection,Objection,lse besides Wendy Leigh and John 22 Connelly and the police -- 23 MS. McCAWLEY: Objection. 24 BY MS. MENNINGER: 25 Q. -- and Virginia and the investigator -- MAGNA LEGAL,
166,Objection,Objection,Page 130 1 MS. McCAWLEY: Objection. 2 BY MS. MENNINGER: 3 Q. -- did you talk to about your experience 4 A. Family,
166,Don't know,do not know,"7 avoided almost all of the calls. I had someone 8 coming at me, stalking me. I do not know who he 9 was. He offered me 25,000 to give a story, and I 10 turned him down. 1",
169,Objection,Objection,Which interview 12 Q. The one with the -- Virginias attorneys. 13 MS. McCAWLEY: Objection. 14 THE WITNESS: No. 15 BY MS. MENNINGER: 16 Q. You testified earlier about an,Ghislaine Maxwell
170,Objection,Objection,14 with her anything about your sexual contact with 15 Jeffrey 16 MS. McCAWLEY: Objection. 17 THE WITNESS: No. 18 BY MS. MENNINGER: 19 Q. Did she give you the camera 20,
178,Objection,Objection,"d not finishing the job 20 meaning bringing Jeffrey to orgasm 21 MS. MENNINGER: Objection, leading, form. 22 BY MS. McCAWLEY: 23 Q. Im sorry, Johanna, let me correct tha",
179,Objection,Objection,"said you hadnt finished the job, with 2 respect to the camera 3 MS. MENNINGER: Objection, leading, form. 4 THE WITNESS: She implied that I had not 5 brought him to orga",
179,Objection,Objection,"you to perform sexual acts when you were massaging 9 Jeffrey 10 MS. MENNINGER: Objection, leading, form, 11 foundation. 12 THE WITNESS: I can answer 13 Yes, I took that",
179,Objection,Objection,"ld you a 18 story about sex on the plane. What was that about 19 MS. MENNINGER: Objection, hearsay. 20 THE WITNESS: He told me one time Emmy was 21 sleeping on the plane",
180,Objection,Objection,"tion of what you remember 15 telling the detective 16 A. Yes. 17 MS. MENNINGER: Objection, outside the 18 scope of cross. 19 BY MS. McCAWLEY: 20 Q. You mentioned that th",
182,Objection,Objection,"ew that other 17 girls were performing sexual acts 18 A. Yes. 19 MS. MENNINGER: Objection, foundation, 20 form. 21 BY MS. McCAWLEY: 22 Q. And I know you mentioned previo",
183,Objection,Objection,2 about what they had done with Jeffrey behind closed 23 doors 24 MS. McCAWLEY: Objection. 25 MAGNA LEGAL SERVICES Case 1:15-cv-07433-LAP Document 1320-12 Filed 010324 P,
184,Objection,Objection,t Jeffrey told you he had done with 6 other girls 7 A. Correct. 8 MS. McCAWLEY: Objection. 9 BY MS. MENNINGER: 10 Q. You said that there were possibly nude 11 photos amo,
187,Objection,Objection,. 16 Q. There were other people he traveled with 17 A. Uh-huh. 18 MS. McCAWLEY: Objection. 19 BY MS. MENNINGER: 20 Q. Correct 21 A. Correct. 22 Q. Other girls 23 A. Yes.,
188,Objection,Objection,"at meant other adult 11 women that he had in his life, correct 12 MS. McCAWLEY: Objection. 13 THE WITNESS: Correct, doing what I was 14 expected to do in a massage, you",
189,Objection,Objection,truth about the age she was when she met 21 Ghislaine Maxwell 22 MS. McCAWLEY: Objection. Exceeds the 23 scope of cross. 24 THE WITNESS: I dont have any idea what 25 sh,Ghislaine Maxwell
190,Objection,Objection,nt her sweet 16th 4 birthday with Jeffrey and Ghislaine Maxwell 5 MS. McCAWLEY: Objection. 6 THE WITNESS: I dont know anything about 7 that. 8 BY MS. MENNINGER: 9 Q. Do,Ghislaine Maxwell
190,Objection,Objection,Maxwell 11 sexually assaulted her on her first day on the job 12 MS. McCAWLEY: Objection. 13 THE WITNESS: I have not knowledge of 14 that. 15 BY MS. MENNINGER: 16 Q. Do,Ghislaine Maxwell
190,Objection,Objection,hislaine Maxwell 19 forcing Virginia Roberts to go down on her 20 MS. McCAWLEY: Objection. 21 THE WITNESS: No knowledge. 22 BY MS. MENNINGER: 23 Q. Do you have any knowl,Ghislaine Maxwell
191,Objection,Objection,Page 155 1 orgies with other women 2 MS. McCAWLEY: Objection. 3 THE WITNESS: No. 4 BY MS. MENNINGER: 5 Q. Do you have any knowledge about wh,Ghislaine Maxwell; Prince Andrew; Alan Dershowitz
191,Objection,Objection,Ghislaine Maxwell directed her to have sex with 8 Prince Andrew 9 MS. McCAWLEY: Objection. 10 THE WITNESS: No. Only based on what Ive 11 read in the media. 12 BY MS. MEN,Ghislaine Maxwell; Prince Andrew; Alan Dershowitz
191,Objection,Objection,d in the media. 12 BY MS. MENNINGER: 13 Q. And Alan Dershowitz 14 MS. McCAWLEY: Objection. 15 THE WITNESS: The same. 16 BY MS. MENNINGER: 17 Q. Prime ministers 18 MS. Mc,Ghislaine Maxwell; Prince Andrew; Alan Dershowitz
191,Objection,Objection,WITNESS: The same. 16 BY MS. MENNINGER: 17 Q. Prime ministers 18 MS. McCAWLEY: Objection. 19 THE WITNESS: No. 20 BY MS. MENNINGER: 21 Q. Do you have any knowledge about,Ghislaine Maxwell; Prince Andrew; Alan Dershowitz
191,Objection,Objection,ginia Roberts is telling the truth about foreign 23 presidents 24 MS. McCAWLEY: Objection. 25 THE WITNESS: No knowledge. MAGNA LEGAL SERVICES Case 1:15-cv-07433-LAP Docu,Ghislaine Maxwell; Prince Andrew; Alan Dershowitz
192,Objection,Objection,gy with Prince Andrew and 5 other underaged girls on the island 6 MS. McCAWLEY: Objection. 7 THE WITNESS: No knowledge. 8 BY MS. MENNINGER: 9 Q. Did Ghislaine Maxwell ev,Ghislaine Maxwell; Prince Andrew
192,Objection,Objection,R: 9 Q. Did Ghislaine Maxwell ever ask you to have 10 her baby 11 MS. McCAWLEY: Objection. 12 THE WITNESS: No. 13 MS. MENNINGER: No further questions. 14 MS. McCAWLEY: T,Ghislaine Maxwell; Prince Andrew
295,Objection,objection,wells privacy interests. 9. Ms. Maxwell incorporates by reference every general objection set forth above into each specific response set forth below. A specific respons,
295,Objection,objection,ach specific response set forth below. A specific response may repeat a general objection for emphasis or for some other reason. The failure to include any general objec,
295,Objection,objection,ction for emphasis or for some other reason. The failure to include any general objection in any specific response does not waive any general objection to that request.,
295,Objection,objection,clude any general objection in any specific response does not waive any general objection to that request. 10. The Requests seek information that is confidential and imp,
328,Fifth Amendment,Fifth Amendment,"f Epstein, without his family, in the presence of young girls; x invocations of Fifth Amendment rights to remain silent by three of Epsteins identified co-conspirators Sarah K",Jeffrey Epstein
328,Fifth Amendment,Fifth Amendment,"by Jeffrey Epstein to discuss Dershowitzs involvement but instead to invoke his Fifth Amendment right. Id. at 26-38. Several months later, on April 7, 2015, the Court Marra, J",Jeffrey Epstein
345,Fifth Amendment,Fifth Amendment,"howitz, such as sworn testimony from household employees and invocations of the Fifth Amendment by Epstein and his co-conspirators. To be sure, Dershowitz tried to make an arg",
347,Objection,objection,". McCawley, from the law firm of Boies, Schiller Flexner, LLP raised a standing objection to Cassell answering any question that would require divulging any attorneyclie",
362,I don't recall,do not recall,"father dropping you off there more than one day 17 in a row 18 A Yes. 19 Q You do not recall the car he was driving 20 A Like I said, he always drove trucks. 21 Thats as go",
383,Fifth Amendment,Fifth Amendment,"inconveniently testified and denied Plaintiffs claims, rather than invoking the Fifth Amendment. This dashed Plaintiffs apparent hope to obtain an adverse inference, rather th",Ghislaine Maxwell
384,Fifth Amendment,Fifth Amendment,"he requests the depositions of each. Plaintiff anticipates each will invoke the Fifth Amendment in other words, she will not obtain any discoverable information from them. Cas",Jeffrey Epstein
385,Fifth Amendment,Fifth Amendment,"ence against Ms. Maxwell,2 despite the fact that Ms. Maxwell did not invoke the Fifth Amendment and she testified fully and answered every question posed to her with the only",
385,Fifth Amendment,Fifth Amendment,a partys application to conduct more than ten depositions: 2 Invocation of the Fifth Amendment by a third party witness cannot be used to create an adverse inference against,
385,Fifth Amendment,Fifth Amendment,"59, at 5 S.D.N.Y. May 12, 1993 the general rule is that an individuals claim of Fifth Amendment protection is personal, and does not give rise to adverse inferences against ot",
388,Fifth Amendment,Fifth Amendment,"ch of whom Plaintiff anticipates will not respond to questions and invoke their Fifth Amendment right. As discussed above, such invocation has no bearing on the issues in this",Jeffrey Epstein
403,Fifth Amendment,Fifth Amendment,"abuse. Epstein, however, may well attempt to support Defendant by invoking the Fifth Amendment to avoid answering questions about his sexual abuse of Ms. Giuffre. Apparently",Jeffrey Epstein
403,Fifth Amendment,Fifth Amendment,"upheld the drawing of adverse inferences based on a non-partys invocation of a Fifth Amendment right to remain silent. The Second Circuit instructed that, the circumstances o",Jeffrey Epstein
